Date,Heure,Match,Stade,Diffusion
2026-06-11,15:00,Mexique - Afrique du Sud,Stade de Mexico,À déterminer
2026-06-11,22:00,République de Corée - Tchéquie,Stade de Guadalajara,À déterminer
2026-06-12,15:00,Canada - Bosnie-et-Herzégovine,Stade de Toronto,À déterminer
2026-06-12,21:00,États-Unis - Paraguay,Stade de Los Angeles,À déterminer
2026-06-13,15:00,Qatar - Suisse,Stade de la baie de San Francisco,À déterminer
2026-06-13,18:00,Brésil - Maroc,Stade de New York New Jersey,À déterminer
2026-06-13,21:00,Haïti - Écosse,Stade de Boston,À déterminer
2026-06-13,00:00,Australie - Turquie,BC Place de Vancouver,À déterminer
2026-06-14,13:00,Allemagne - Curaçao,Stade de Houston,À déterminer
2026-06-14,16:00,Pays-Bas - Japon,Stade de Dallas,À déterminer
2026-06-14,19:00,Côte d'Ivoire - Équateur,Stade de Philadelphie,À déterminer
2026-06-14,22:00,Suède - Tunisie,Stade de Monterrey,À déterminer
2026-06-15,12:00,Espagne - Cap-Vert,Stade d'Atlanta,À déterminer
2026-06-15,15:00,Belgique - Égypte,Stade de Seattle,À déterminer
2026-06-15,18:00,Arabie saoudite - Uruguay,Stade de Miami,À déterminer
2026-06-15,21:00,RI Iran - Nouvelle-Zélande,Stade de Los Angeles,À déterminer
2026-06-16,15:00,France - Sénégal,Stade de New York New Jersey,À déterminer
2026-06-16,18:00,Irak - Norvège,Stade de Boston,À déterminer
2026-06-16,21:00,Argentine - Algérie,Stade de Kansas City,À déterminer
2026-06-16,00:00,Autriche - Jordanie,Stade de la baie de San Francisco,À déterminer
2026-06-17,13:00,Portugal - RD Congo,Stade de Houston,À déterminer
2026-06-17,16:00,Angleterre - Croatie,Stade de Dallas,À déterminer
2026-06-17,19:00,Ghana - Panamá,Stade de Toronto,À déterminer
2026-06-17,22:00,Ouzbékistan - Colombie,Stade de Mexico,À déterminer
2026-06-18,12:00,Tchéquie - Afrique du Sud,Stade d'Atlanta,À déterminer
2026-06-18,15:00,Suisse - Bosnie-et-Herzégovine,Stade de Los Angeles,À déterminer
2026-06-18,18:00,Canada - Qatar,BC Place de Vancouver,À déterminer
2026-06-18,21:00,Mexique - République de Corée,Stade de Guadalajara,À déterminer
2026-06-19,15:00,États-Unis - Australie,Stade de Seattle,À déterminer
2026-06-19,18:00,Écosse - Maroc,Stade de Boston,À déterminer
2026-06-19,20:30,Brésil - Haïti,Stade de Philadelphie,À déterminer
2026-06-19,23:00,Turquie - Paraguay,Stade de la baie de San Francisco,À déterminer
2026-06-20,13:00,Pays-Bas - Suède,Stade de Houston,À déterminer
2026-06-20,16:00,Allemagne - Côte d'Ivoire,Stade de Toronto,À déterminer
2026-06-20,20:00,Équateur - Curaçao,Stade de Kansas City,À déterminer
2026-06-20,00:00,Tunisie - Japon,Stade de Monterrey,À déterminer
2026-06-21,12:00,Espagne - Arabie saoudite,Stade d'Atlanta,À déterminer
